,feature_types,genome,feature_is_filtered,feature_name,feature_reference,feature_biotype,feature_length,feature_type,ensemble_id
ENSG00000286002.1,Gene Expression,GRCh38,False,ENSG00000286002.1,NCBITaxon:9606,gene,1379,lncRNA,ENSG00000286002
ENSG00000286003.1,Gene Expression,GRCh38,False,ENSG00000286003.1,NCBITaxon:9606,gene,1854,lncRNA,ENSG00000286003
ENSG00000286004.1,Gene Expression,GRCh38,False,ENSG00000286004.1,NCBITaxon:9606,gene,1617,lncRNA,ENSG00000286004
ENSG00000286006.2,Gene Expression,GRCh38,False,ENSG00000286006.2,NCBITaxon:9606,gene,1045,lncRNA,ENSG00000286006
ENSG00000286008.1,Gene Expression,GRCh38,False,ENSG00000286008.1,NCBITaxon:9606,gene,514,lncRNA,ENSG00000286008
ENSG00000286009.2,Gene Expression,GRCh38,False,ENSG00000286009.2,NCBITaxon:9606,gene,1114,lncRNA,ENSG00000286009
ENSG00000286010.1,Gene Expression,GRCh38,False,ENSG00000286010.1,NCBITaxon:9606,gene,4601,lncRNA,ENSG00000286010
ENSG00000286011.2,Gene Expression,GRCh38,False,ENSG00000286011.2,NCBITaxon:9606,gene,970,lncRNA,ENSG00000286011
ENSG00000286013.1,Gene Expression,GRCh38,False,ENSG00000286013.1,NCBITaxon:9606,gene,1091,lncRNA,ENSG00000286013
ENSG00000286016.1,Gene Expression,GRCh38,False,ENSG00000286016.1,NCBITaxon:9606,gene,1620,lncRNA,ENSG00000286016
ENSG00000286017.1,Gene Expression,GRCh38,False,ENSG00000286017.1,NCBITaxon:9606,gene,1042,lncRNA,ENSG00000286017
ENSG00000286018.1,Gene Expression,GRCh38,False,ENSG00000286018.1,NCBITaxon:9606,gene,731,lncRNA,ENSG00000286018
ENSG00000286020.1,Gene Expression,GRCh38,False,ENSG00000286020.1,NCBITaxon:9606,gene,631,lncRNA,ENSG00000286020
ENSG00000286023.1,Gene Expression,GRCh38,False,ENSG00000286023.1,NCBITaxon:9606,gene,591,lncRNA,ENSG00000286023
ENSG00000286024.3,Gene Expression,GRCh38,False,ENSG00000286024.3,NCBITaxon:9606,gene,704,lncRNA,ENSG00000286024
ENSG00000286031.1,Gene Expression,GRCh38,False,ENSG00000286031.1,NCBITaxon:9606,gene,839,lncRNA,ENSG00000286031
ENSG00000286033.1,Gene Expression,GRCh38,False,ENSG00000286033.1,NCBITaxon:9606,gene,1154,lncRNA,ENSG00000286033
ENSG00000286034.1,Gene Expression,GRCh38,False,ENSG00000286034.1,NCBITaxon:9606,gene,977,lncRNA,ENSG00000286034
ENSG00000286035.1,Gene Expression,GRCh38,False,ENSG00000286035.1,NCBITaxon:9606,gene,3267,lncRNA,ENSG00000286035
ENSG00000286036.1,Gene Expression,GRCh38,False,ENSG00000286036.1,NCBITaxon:9606,gene,1476,lncRNA,ENSG00000286036
ENSG00000286037.1,Gene Expression,GRCh38,False,ENSG00000286037.1,NCBITaxon:9606,gene,622,lncRNA,ENSG00000286037
ENSG00000286039.3,Gene Expression,GRCh38,False,ENSG00000286039.3,NCBITaxon:9606,gene,1301,lncRNA,ENSG00000286039
ENSG00000286040.1,Gene Expression,GRCh38,False,ENSG00000286040.1,NCBITaxon:9606,gene,4968,lncRNA,ENSG00000286040
ENSG00000286041.1,Gene Expression,GRCh38,False,ENSG00000286041.1,NCBITaxon:9606,gene,714,lncRNA,ENSG00000286041
ENSG00000286043.1,Gene Expression,GRCh38,False,ENSG00000286043.1,NCBITaxon:9606,gene,1034,lncRNA,ENSG00000286043
ENSG00000286044.1,Gene Expression,GRCh38,False,ENSG00000286044.1,NCBITaxon:9606,gene,2696,lncRNA,ENSG00000286044
ENSG00000286045.1,Gene Expression,GRCh38,False,ENSG00000286045.1,NCBITaxon:9606,gene,3734,lncRNA,ENSG00000286045
ENSG00000286046.1,Gene Expression,GRCh38,False,ENSG00000286046.1,NCBITaxon:9606,gene,1322,lncRNA,ENSG00000286046
ENSG00000286047.1,Gene Expression,GRCh38,False,ENSG00000286047.1,NCBITaxon:9606,gene,689,lncRNA,ENSG00000286047
ENSG00000286048.1,Gene Expression,GRCh38,False,ENSG00000286048.1,NCBITaxon:9606,gene,1942,lncRNA,ENSG00000286048
ENSG00000286049.1,Gene Expression,GRCh38,False,ENSG00000286049.1,NCBITaxon:9606,gene,1837,lncRNA,ENSG00000286049
ENSG00000286050.1,Gene Expression,GRCh38,False,ENSG00000286050.1,NCBITaxon:9606,gene,1057,lncRNA,ENSG00000286050
ENSG00000286052.1,Gene Expression,GRCh38,False,ENSG00000286052.1,NCBITaxon:9606,gene,1615,lncRNA,ENSG00000286052
ENSG00000286055.1,Gene Expression,GRCh38,False,ENSG00000286055.1,NCBITaxon:9606,gene,1048,lncRNA,ENSG00000286055
ENSG00000286056.1,Gene Expression,GRCh38,False,ENSG00000286056.1,NCBITaxon:9606,gene,2323,lncRNA,ENSG00000286056
ENSG00000286059.1,Gene Expression,GRCh38,False,ENSG00000286059.1,NCBITaxon:9606,gene,1653,lncRNA,ENSG00000286059
ENSG00000286060.1,Gene Expression,GRCh38,False,ENSG00000286060.1,NCBITaxon:9606,gene,2508,lncRNA,ENSG00000286060
ENSG00000286062.2,Gene Expression,GRCh38,False,ENSG00000286062.2,NCBITaxon:9606,gene,1343,lncRNA,ENSG00000286062
ENSG00000286063.1,Gene Expression,GRCh38,False,ENSG00000286063.1,NCBITaxon:9606,gene,4106,lncRNA,ENSG00000286063
ENSG00000286066.1,Gene Expression,GRCh38,False,ENSG00000286066.1,NCBITaxon:9606,gene,1686,lncRNA,ENSG00000286066
ENSG00000286067.1,Gene Expression,GRCh38,False,ENSG00000286067.1,NCBITaxon:9606,gene,2350,lncRNA,ENSG00000286067
ENSG00000286068.1,Gene Expression,GRCh38,False,ENSG00000286068.1,NCBITaxon:9606,gene,1240,lncRNA,ENSG00000286068
ENSG00000286069.2,Gene Expression,GRCh38,False,ENSG00000286069.2,NCBITaxon:9606,gene,2389,lncRNA,ENSG00000286069
ENSG00000286070.2,Gene Expression,GRCh38,False,ENSG00000286070.2,NCBITaxon:9606,gene,1520,protein_coding,ENSG00000286070
ENSG00000286071.3,Gene Expression,GRCh38,False,ENSG00000286071.3,NCBITaxon:9606,gene,1826,lncRNA,ENSG00000286071
ENSG00000286072.1,Gene Expression,GRCh38,False,ENSG00000286072.1,NCBITaxon:9606,gene,1108,lncRNA,ENSG00000286072
ENSG00000286074.1,Gene Expression,GRCh38,False,ENSG00000286074.1,NCBITaxon:9606,gene,803,lncRNA,ENSG00000286074
ENSG00000286076.2,Gene Expression,GRCh38,False,ENSG00000286076.2,NCBITaxon:9606,gene,589,lncRNA,ENSG00000286076
ENSG00000286077.1,Gene Expression,GRCh38,False,ENSG00000286077.1,NCBITaxon:9606,gene,1327,lncRNA,ENSG00000286077
ENSG00000286078.1,Gene Expression,GRCh38,False,ENSG00000286078.1,NCBITaxon:9606,gene,947,lncRNA,ENSG00000286078
ENSG00000286080.2,Gene Expression,GRCh38,False,ENSG00000286080.2,NCBITaxon:9606,gene,1758,lncRNA,ENSG00000286080
ENSG00000286081.2,Gene Expression,GRCh38,False,ENSG00000286081.2,NCBITaxon:9606,gene,2488,lncRNA,ENSG00000286081
ENSG00000286082.1,Gene Expression,GRCh38,False,ENSG00000286082.1,NCBITaxon:9606,gene,958,lncRNA,ENSG00000286082
ENSG00000286083.1,Gene Expression,GRCh38,False,ENSG00000286083.1,NCBITaxon:9606,gene,701,lncRNA,ENSG00000286083
ENSG00000286084.3,Gene Expression,GRCh38,False,ENSG00000286084.3,NCBITaxon:9606,gene,2510,lncRNA,ENSG00000286084
ENSG00000286085.1,Gene Expression,GRCh38,False,ENSG00000286085.1,NCBITaxon:9606,gene,2805,lncRNA,ENSG00000286085
ENSG00000286086.1,Gene Expression,GRCh38,False,ENSG00000286086.1,NCBITaxon:9606,gene,1565,lncRNA,ENSG00000286086
ENSG00000286087.1,Gene Expression,GRCh38,False,ENSG00000286087.1,NCBITaxon:9606,gene,928,lncRNA,ENSG00000286087
ENSG00000286089.1,Gene Expression,GRCh38,False,ENSG00000286089.1,NCBITaxon:9606,gene,415,lncRNA,ENSG00000286089
ENSG00000286090.1,Gene Expression,GRCh38,False,ENSG00000286090.1,NCBITaxon:9606,gene,752,lncRNA,ENSG00000286090
ENSG00000286092.1,Gene Expression,GRCh38,False,ENSG00000286092.1,NCBITaxon:9606,gene,1299,lncRNA,ENSG00000286092
ENSG00000286093.1,Gene Expression,GRCh38,False,ENSG00000286093.1,NCBITaxon:9606,gene,1142,lncRNA,ENSG00000286093
ENSG00000286097.1,Gene Expression,GRCh38,False,ENSG00000286097.1,NCBITaxon:9606,gene,1897,lncRNA,ENSG00000286097
ENSG00000286099.1,Gene Expression,GRCh38,False,ENSG00000286099.1,NCBITaxon:9606,gene,2734,lncRNA,ENSG00000286099
ENSG00000286100.1,Gene Expression,GRCh38,False,ENSG00000286100.1,NCBITaxon:9606,gene,3414,lncRNA,ENSG00000286100
ENSG00000286101.1,Gene Expression,GRCh38,False,ENSG00000286101.1,NCBITaxon:9606,gene,700,lncRNA,ENSG00000286101
ENSG00000286103.1,Gene Expression,GRCh38,False,ENSG00000286103.1,NCBITaxon:9606,gene,869,lncRNA,ENSG00000286103
ENSG00000286107.1,Gene Expression,GRCh38,False,ENSG00000286107.1,NCBITaxon:9606,gene,1923,lncRNA,ENSG00000286107
ENSG00000286108.1,Gene Expression,GRCh38,False,ENSG00000286108.1,NCBITaxon:9606,gene,1804,lncRNA,ENSG00000286108
ENSG00000286109.1,Gene Expression,GRCh38,False,ENSG00000286109.1,NCBITaxon:9606,gene,1079,lncRNA,ENSG00000286109
ENSG00000286111.1,Gene Expression,GRCh38,False,ENSG00000286111.1,NCBITaxon:9606,gene,1338,lncRNA,ENSG00000286111
ENSG00000286113.2,Gene Expression,GRCh38,False,ENSG00000286113.2,NCBITaxon:9606,gene,2027,lncRNA,ENSG00000286113
ENSG00000286115.1,Gene Expression,GRCh38,False,ENSG00000286115.1,NCBITaxon:9606,gene,1066,lncRNA,ENSG00000286115
ENSG00000286116.1,Gene Expression,GRCh38,False,ENSG00000286116.1,NCBITaxon:9606,gene,4205,lncRNA,ENSG00000286116
ENSG00000286117.2,Gene Expression,GRCh38,False,ENSG00000286117.2,NCBITaxon:9606,gene,1219,lncRNA,ENSG00000286117
ENSG00000286118.1,Gene Expression,GRCh38,False,ENSG00000286118.1,NCBITaxon:9606,gene,1857,lncRNA,ENSG00000286118
ENSG00000286119.1,Gene Expression,GRCh38,False,ENSG00000286119.1,NCBITaxon:9606,gene,1564,lncRNA,ENSG00000286119
ENSG00000286121.1,Gene Expression,GRCh38,False,ENSG00000286121.1,NCBITaxon:9606,gene,2524,lncRNA,ENSG00000286121
ENSG00000286123.1,Gene Expression,GRCh38,False,ENSG00000286123.1,NCBITaxon:9606,gene,869,lncRNA,ENSG00000286123
ENSG00000286124.1,Gene Expression,GRCh38,False,ENSG00000286124.1,NCBITaxon:9606,gene,1049,lncRNA,ENSG00000286124
ENSG00000286125.3,Gene Expression,GRCh38,False,ENSG00000286125.3,NCBITaxon:9606,gene,2109,lncRNA,ENSG00000286125
ENSG00000286126.1,Gene Expression,GRCh38,False,ENSG00000286126.1,NCBITaxon:9606,gene,770,lncRNA,ENSG00000286126
ENSG00000286127.1,Gene Expression,GRCh38,False,ENSG00000286127.1,NCBITaxon:9606,gene,1138,lncRNA,ENSG00000286127
ENSG00000286128.1,Gene Expression,GRCh38,False,ENSG00000286128.1,NCBITaxon:9606,gene,1134,lncRNA,ENSG00000286128
ENSG00000286130.1,Gene Expression,GRCh38,False,ENSG00000286130.1,NCBITaxon:9606,gene,1151,lncRNA,ENSG00000286130
ENSG00000286131.1,Gene Expression,GRCh38,False,ENSG00000286131.1,NCBITaxon:9606,gene,189,protein_coding,ENSG00000286131
ENSG00000286133.2,Gene Expression,GRCh38,False,ENSG00000286133.2,NCBITaxon:9606,gene,996,lncRNA,ENSG00000286133
ENSG00000286134.2,Gene Expression,GRCh38,False,ENSG00000286134.2,NCBITaxon:9606,gene,1082,lncRNA,ENSG00000286134
ENSG00000286136.2,Gene Expression,GRCh38,False,ENSG00000286136.2,NCBITaxon:9606,gene,1310,lncRNA,ENSG00000286136
ENSG00000286138.3,Gene Expression,GRCh38,False,ENSG00000286138.3,NCBITaxon:9606,gene,869,lncRNA,ENSG00000286138
ENSG00000286141.1,Gene Expression,GRCh38,False,ENSG00000286141.1,NCBITaxon:9606,gene,2738,lncRNA,ENSG00000286141
ENSG00000286142.2,Gene Expression,GRCh38,False,ENSG00000286142.2,NCBITaxon:9606,gene,1140,lncRNA,ENSG00000286142
ENSG00000286144.1,Gene Expression,GRCh38,False,ENSG00000286144.1,NCBITaxon:9606,gene,881,lncRNA,ENSG00000286144
ENSG00000286145.2,Gene Expression,GRCh38,False,ENSG00000286145.2,NCBITaxon:9606,gene,1228,lncRNA,ENSG00000286145
ENSG00000286147.1,Gene Expression,GRCh38,False,ENSG00000286147.1,NCBITaxon:9606,gene,4893,lncRNA,ENSG00000286147
ENSG00000286150.1,Gene Expression,GRCh38,False,ENSG00000286150.1,NCBITaxon:9606,gene,1336,lncRNA,ENSG00000286150
ENSG00000286152.1,Gene Expression,GRCh38,False,ENSG00000286152.1,NCBITaxon:9606,gene,1081,lncRNA,ENSG00000286152
ENSG00000286153.2,Gene Expression,GRCh38,False,ENSG00000286153.2,NCBITaxon:9606,gene,1576,lncRNA,ENSG00000286153
ENSG00000286154.1,Gene Expression,GRCh38,False,ENSG00000286154.1,NCBITaxon:9606,gene,916,lncRNA,ENSG00000286154
ENSG00000286157.1,Gene Expression,GRCh38,False,ENSG00000286157.1,NCBITaxon:9606,gene,1406,lncRNA,ENSG00000286157
ENSG00000286158.1,Gene Expression,GRCh38,False,ENSG00000286158.1,NCBITaxon:9606,gene,629,lncRNA,ENSG00000286158
ENSG00000286159.1,Gene Expression,GRCh38,False,ENSG00000286159.1,NCBITaxon:9606,gene,1874,lncRNA,ENSG00000286159
ENSG00000286160.2,Gene Expression,GRCh38,False,ENSG00000286160.2,NCBITaxon:9606,gene,539,lncRNA,ENSG00000286160
ENSG00000286161.1,Gene Expression,GRCh38,False,ENSG00000286161.1,NCBITaxon:9606,gene,556,lncRNA,ENSG00000286161
ENSG00000286162.4,Gene Expression,GRCh38,False,ENSG00000286162.4,NCBITaxon:9606,gene,717,lncRNA,ENSG00000286162
ENSG00000286163.1,Gene Expression,GRCh38,False,ENSG00000286163.1,NCBITaxon:9606,gene,1052,lncRNA,ENSG00000286163
ENSG00000286164.1,Gene Expression,GRCh38,False,ENSG00000286164.1,NCBITaxon:9606,gene,707,lncRNA,ENSG00000286164
ENSG00000286167.1,Gene Expression,GRCh38,False,ENSG00000286167.1,NCBITaxon:9606,gene,1133,lncRNA,ENSG00000286167
ENSG00000286168.2,Gene Expression,GRCh38,False,ENSG00000286168.2,NCBITaxon:9606,gene,780,lncRNA,ENSG00000286168
ENSG00000286170.1,Gene Expression,GRCh38,False,ENSG00000286170.1,NCBITaxon:9606,gene,1509,lncRNA,ENSG00000286170
ENSG00000286171.1,Gene Expression,GRCh38,False,ENSG00000286171.1,NCBITaxon:9606,gene,156,lncRNA,ENSG00000286171
ENSG00000286174.1,Gene Expression,GRCh38,False,ENSG00000286174.1,NCBITaxon:9606,gene,1240,lncRNA,ENSG00000286174
ENSG00000286176.2,Gene Expression,GRCh38,False,ENSG00000286176.2,NCBITaxon:9606,gene,1628,lncRNA,ENSG00000286176
ENSG00000286177.1,Gene Expression,GRCh38,False,ENSG00000286177.1,NCBITaxon:9606,gene,2904,lncRNA,ENSG00000286177
ENSG00000286179.1,Gene Expression,GRCh38,False,ENSG00000286179.1,NCBITaxon:9606,gene,1590,lncRNA,ENSG00000286179
ENSG00000286180.1,Gene Expression,GRCh38,False,ENSG00000286180.1,NCBITaxon:9606,gene,964,lncRNA,ENSG00000286180
ENSG00000286181.1,Gene Expression,GRCh38,False,ENSG00000286181.1,NCBITaxon:9606,gene,2438,lncRNA,ENSG00000286181
ENSG00000286182.1,Gene Expression,GRCh38,False,ENSG00000286182.1,NCBITaxon:9606,gene,1039,lncRNA,ENSG00000286182
ENSG00000286183.1,Gene Expression,GRCh38,False,ENSG00000286183.1,NCBITaxon:9606,gene,2524,lncRNA,ENSG00000286183
ENSG00000286186.1,Gene Expression,GRCh38,False,ENSG00000286186.1,NCBITaxon:9606,gene,2984,lncRNA,ENSG00000286186
ENSG00000286187.1,Gene Expression,GRCh38,False,ENSG00000286187.1,NCBITaxon:9606,gene,7203,lncRNA,ENSG00000286187
ENSG00000286188.1,Gene Expression,GRCh38,False,ENSG00000286188.1,NCBITaxon:9606,gene,827,lncRNA,ENSG00000286188
ENSG00000286189.1,Gene Expression,GRCh38,False,ENSG00000286189.1,NCBITaxon:9606,gene,551,lncRNA,ENSG00000286189
ENSG00000286190.2,Gene Expression,GRCh38,False,ENSG00000286190.2,NCBITaxon:9606,gene,1500,protein_coding,ENSG00000286190
ENSG00000286191.1,Gene Expression,GRCh38,False,ENSG00000286191.1,NCBITaxon:9606,gene,2165,lncRNA,ENSG00000286191
ENSG00000286194.1,Gene Expression,GRCh38,False,ENSG00000286194.1,NCBITaxon:9606,gene,581,lncRNA,ENSG00000286194
ENSG00000286195.1,Gene Expression,GRCh38,False,ENSG00000286195.1,NCBITaxon:9606,gene,1500,lncRNA,ENSG00000286195
ENSG00000286196.1,Gene Expression,GRCh38,False,ENSG00000286196.1,NCBITaxon:9606,gene,2332,lncRNA,ENSG00000286196
ENSG00000286197.1,Gene Expression,GRCh38,False,ENSG00000286197.1,NCBITaxon:9606,gene,1092,lncRNA,ENSG00000286197
ENSG00000286198.3,Gene Expression,GRCh38,False,ENSG00000286198.3,NCBITaxon:9606,gene,2197,lncRNA,ENSG00000286198
ENSG00000286199.1,Gene Expression,GRCh38,False,ENSG00000286199.1,NCBITaxon:9606,gene,677,lncRNA,ENSG00000286199
ENSG00000286201.1,Gene Expression,GRCh38,False,ENSG00000286201.1,NCBITaxon:9606,gene,6653,lncRNA,ENSG00000286201
ENSG00000286202.1,Gene Expression,GRCh38,False,ENSG00000286202.1,NCBITaxon:9606,gene,595,lncRNA,ENSG00000286202
ENSG00000286204.1,Gene Expression,GRCh38,False,ENSG00000286204.1,NCBITaxon:9606,gene,1003,lncRNA,ENSG00000286204
ENSG00000286205.1,Gene Expression,GRCh38,False,ENSG00000286205.1,NCBITaxon:9606,gene,1735,lncRNA,ENSG00000286205
ENSG00000286206.1,Gene Expression,GRCh38,False,ENSG00000286206.1,NCBITaxon:9606,gene,618,lncRNA,ENSG00000286206
ENSG00000286207.1,Gene Expression,GRCh38,False,ENSG00000286207.1,NCBITaxon:9606,gene,4629,lncRNA,ENSG00000286207
ENSG00000286208.1,Gene Expression,GRCh38,False,ENSG00000286208.1,NCBITaxon:9606,gene,4030,lncRNA,ENSG00000286208
ENSG00000286209.1,Gene Expression,GRCh38,False,ENSG00000286209.1,NCBITaxon:9606,gene,535,lncRNA,ENSG00000286209
ENSG00000286210.1,Gene Expression,GRCh38,False,ENSG00000286210.1,NCBITaxon:9606,gene,1099,lncRNA,ENSG00000286210
ENSG00000286211.1,Gene Expression,GRCh38,False,ENSG00000286211.1,NCBITaxon:9606,gene,1050,lncRNA,ENSG00000286211
ENSG00000286212.2,Gene Expression,GRCh38,False,ENSG00000286212.2,NCBITaxon:9606,gene,1241,lncRNA,ENSG00000286212
ENSG00000286213.1,Gene Expression,GRCh38,False,ENSG00000286213.1,NCBITaxon:9606,gene,1112,lncRNA,ENSG00000286213
ENSG00000286216.1,Gene Expression,GRCh38,False,ENSG00000286216.1,NCBITaxon:9606,gene,1100,lncRNA,ENSG00000286216
ENSG00000286218.2,Gene Expression,GRCh38,False,ENSG00000286218.2,NCBITaxon:9606,gene,3334,lncRNA,ENSG00000286218
ENSG00000286222.1,Gene Expression,GRCh38,False,ENSG00000286222.1,NCBITaxon:9606,gene,1384,lncRNA,ENSG00000286222
ENSG00000286223.1,Gene Expression,GRCh38,False,ENSG00000286223.1,NCBITaxon:9606,gene,1120,lncRNA,ENSG00000286223
ENSG00000286224.1,Gene Expression,GRCh38,False,ENSG00000286224.1,NCBITaxon:9606,gene,204,protein_coding,ENSG00000286224
ENSG00000286225.1,Gene Expression,GRCh38,False,ENSG00000286225.1,NCBITaxon:9606,gene,1760,lncRNA,ENSG00000286225
ENSG00000286226.1,Gene Expression,GRCh38,False,ENSG00000286226.1,NCBITaxon:9606,gene,919,lncRNA,ENSG00000286226
ENSG00000286227.1,Gene Expression,GRCh38,False,ENSG00000286227.1,NCBITaxon:9606,gene,1302,lncRNA,ENSG00000286227
ENSG00000286229.1,Gene Expression,GRCh38,False,ENSG00000286229.1,NCBITaxon:9606,gene,1157,lncRNA,ENSG00000286229
ENSG00000286230.1,Gene Expression,GRCh38,False,ENSG00000286230.1,NCBITaxon:9606,gene,2002,lncRNA,ENSG00000286230
ENSG00000286232.1,Gene Expression,GRCh38,False,ENSG00000286232.1,NCBITaxon:9606,gene,3567,lncRNA,ENSG00000286232
ENSG00000286233.1,Gene Expression,GRCh38,False,ENSG00000286233.1,NCBITaxon:9606,gene,989,lncRNA,ENSG00000286233
ENSG00000286234.1,Gene Expression,GRCh38,False,ENSG00000286234.1,NCBITaxon:9606,gene,1314,lncRNA,ENSG00000286234
ENSG00000286236.1,Gene Expression,GRCh38,False,ENSG00000286236.1,NCBITaxon:9606,gene,1034,lncRNA,ENSG00000286236
ENSG00000286238.1,Gene Expression,GRCh38,False,ENSG00000286238.1,NCBITaxon:9606,gene,2539,lncRNA,ENSG00000286238
ENSG00000286240.1,Gene Expression,GRCh38,False,ENSG00000286240.1,NCBITaxon:9606,gene,1347,lncRNA,ENSG00000286240
ENSG00000286241.1,Gene Expression,GRCh38,False,ENSG00000286241.1,NCBITaxon:9606,gene,3870,lncRNA,ENSG00000286241
ENSG00000286242.1,Gene Expression,GRCh38,False,ENSG00000286242.1,NCBITaxon:9606,gene,824,lncRNA,ENSG00000286242
ENSG00000286244.1,Gene Expression,GRCh38,False,ENSG00000286244.1,NCBITaxon:9606,gene,644,lncRNA,ENSG00000286244
ENSG00000286245.1,Gene Expression,GRCh38,False,ENSG00000286245.1,NCBITaxon:9606,gene,3913,lncRNA,ENSG00000286245
ENSG00000286246.1,Gene Expression,GRCh38,False,ENSG00000286246.1,NCBITaxon:9606,gene,1157,lncRNA,ENSG00000286246
ENSG00000286247.1,Gene Expression,GRCh38,False,ENSG00000286247.1,NCBITaxon:9606,gene,825,lncRNA,ENSG00000286247
ENSG00000286248.1,Gene Expression,GRCh38,False,ENSG00000286248.1,NCBITaxon:9606,gene,3578,lncRNA,ENSG00000286248
ENSG00000286249.1,Gene Expression,GRCh38,False,ENSG00000286249.1,NCBITaxon:9606,gene,1199,lncRNA,ENSG00000286249
ENSG00000286250.1,Gene Expression,GRCh38,False,ENSG00000286250.1,NCBITaxon:9606,gene,1339,lncRNA,ENSG00000286250
ENSG00000286251.2,Gene Expression,GRCh38,False,ENSG00000286251.2,NCBITaxon:9606,gene,828,lncRNA,ENSG00000286251
ENSG00000286253.1,Gene Expression,GRCh38,False,ENSG00000286253.1,NCBITaxon:9606,gene,1287,lncRNA,ENSG00000286253
ENSG00000286254.1,Gene Expression,GRCh38,False,ENSG00000286254.1,NCBITaxon:9606,gene,1661,lncRNA,ENSG00000286254
ENSG00000286256.2,Gene Expression,GRCh38,False,ENSG00000286256.2,NCBITaxon:9606,gene,1213,lncRNA,ENSG00000286256
ENSG00000286257.2,Gene Expression,GRCh38,False,ENSG00000286257.2,NCBITaxon:9606,gene,1180,lncRNA,ENSG00000286257
ENSG00000286258.1,Gene Expression,GRCh38,False,ENSG00000286258.1,NCBITaxon:9606,gene,734,lncRNA,ENSG00000286258
ENSG00000286259.1,Gene Expression,GRCh38,False,ENSG00000286259.1,NCBITaxon:9606,gene,2828,lncRNA,ENSG00000286259
ENSG00000286260.1,Gene Expression,GRCh38,False,ENSG00000286260.1,NCBITaxon:9606,gene,927,lncRNA,ENSG00000286260
ENSG00000286262.1,Gene Expression,GRCh38,False,ENSG00000286262.1,NCBITaxon:9606,gene,719,lncRNA,ENSG00000286262
ENSG00000286263.1,Gene Expression,GRCh38,False,ENSG00000286263.1,NCBITaxon:9606,gene,3610,lncRNA,ENSG00000286263
ENSG00000286264.2,Gene Expression,GRCh38,False,ENSG00000286264.2,NCBITaxon:9606,gene,1136,protein_coding,ENSG00000286264
ENSG00000286266.1,Gene Expression,GRCh38,False,ENSG00000286266.1,NCBITaxon:9606,gene,1934,lncRNA,ENSG00000286266
ENSG00000286269.1,Gene Expression,GRCh38,False,ENSG00000286269.1,NCBITaxon:9606,gene,5878,lncRNA,ENSG00000286269
ENSG00000286270.2,Gene Expression,GRCh38,False,ENSG00000286270.2,NCBITaxon:9606,gene,1146,lncRNA,ENSG00000286270
ENSG00000286271.3,Gene Expression,GRCh38,False,ENSG00000286271.3,NCBITaxon:9606,gene,1620,lncRNA,ENSG00000286271
ENSG00000286272.1,Gene Expression,GRCh38,False,ENSG00000286272.1,NCBITaxon:9606,gene,1447,lncRNA,ENSG00000286272
ENSG00000286273.1,Gene Expression,GRCh38,False,ENSG00000286273.1,NCBITaxon:9606,gene,1332,lncRNA,ENSG00000286273
ENSG00000286274.1,Gene Expression,GRCh38,False,ENSG00000286274.1,NCBITaxon:9606,gene,3895,lncRNA,ENSG00000286274
ENSG00000286275.1,Gene Expression,GRCh38,False,ENSG00000286275.1,NCBITaxon:9606,gene,912,lncRNA,ENSG00000286275
ENSG00000286276.1,Gene Expression,GRCh38,False,ENSG00000286276.1,NCBITaxon:9606,gene,745,lncRNA,ENSG00000286276
ENSG00000286277.1,Gene Expression,GRCh38,False,ENSG00000286277.1,NCBITaxon:9606,gene,1296,lncRNA,ENSG00000286277
ENSG00000286278.1,Gene Expression,GRCh38,False,ENSG00000286278.1,NCBITaxon:9606,gene,674,lncRNA,ENSG00000286278
ENSG00000286279.3,Gene Expression,GRCh38,False,ENSG00000286279.3,NCBITaxon:9606,gene,3923,lncRNA,ENSG00000286279
ENSG00000286280.1,Gene Expression,GRCh38,False,ENSG00000286280.1,NCBITaxon:9606,gene,1706,lncRNA,ENSG00000286280
ENSG00000286281.1,Gene Expression,GRCh38,False,ENSG00000286281.1,NCBITaxon:9606,gene,2977,lncRNA,ENSG00000286281
ENSG00000286282.1,Gene Expression,GRCh38,False,ENSG00000286282.1,NCBITaxon:9606,gene,4548,lncRNA,ENSG00000286282
ENSG00000286283.1,Gene Expression,GRCh38,False,ENSG00000286283.1,NCBITaxon:9606,gene,498,lncRNA,ENSG00000286283
ENSG00000286284.1,Gene Expression,GRCh38,False,ENSG00000286284.1,NCBITaxon:9606,gene,1272,lncRNA,ENSG00000286284
ENSG00000286285.1,Gene Expression,GRCh38,False,ENSG00000286285.1,NCBITaxon:9606,gene,3823,lncRNA,ENSG00000286285
ENSG00000286286.3,Gene Expression,GRCh38,False,ENSG00000286286.3,NCBITaxon:9606,gene,992,lncRNA,ENSG00000286286
ENSG00000286288.2,Gene Expression,GRCh38,False,ENSG00000286288.2,NCBITaxon:9606,gene,965,lncRNA,ENSG00000286288
ENSG00000286289.1,Gene Expression,GRCh38,False,ENSG00000286289.1,NCBITaxon:9606,gene,3611,lncRNA,ENSG00000286289
ENSG00000286290.1,Gene Expression,GRCh38,False,ENSG00000286290.1,NCBITaxon:9606,gene,1322,lncRNA,ENSG00000286290
ENSG00000286291.1,Gene Expression,GRCh38,False,ENSG00000286291.1,NCBITaxon:9606,gene,625,lncRNA,ENSG00000286291
ENSG00000286292.2,Gene Expression,GRCh38,False,ENSG00000286292.2,NCBITaxon:9606,gene,1151,lncRNA,ENSG00000286292
